[boot.Main.main]Launch.ID:1584508009879
[data.Config.reload]Reload over.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[data.Config.set]Set mwd.isMax=false
[data.Config.set]Set mwd.width=1246
[data.Config.set]Set mwd.height=618
[data.Config.set]Set mwd.x=866
[data.Config.set]Set mwd.y=246
[data.Config.set]Set editingPnl.color=0.18
[data.Config.set]Set toolPnl.color=0.25
[data.Config.set]Set trackOper.color=0.25
[data.Config.set]Set trackOper.x=10
[data.Config.set]Set trackOper.y=10
[data.Config.set]Set toolPnl.x=10
[data.Config.set]Set toolPnl.y=60
[data.Config.set]Set infoBar.color=0.25
[data.Config.set]Set trackLocationAdd=-70
[data.Config.set]Set eleHeight=35
[guiMgr.MainWd.windowClosing]Closing...
