[boot.Main.main]Launch.ID:1585207936122
[data.Config.reload]Reload over.
[guiMgr.MainWd.<init>]Loading window...
[guiMgr.panels.bgPanel.<init>]Loading panel...
[guiMgr.panels.bgPanel.<init>]Loading trackOperPanel...
[guiMgr.panels.bgPanel.<init>]Loading toolPanel...
[guiMgr.panels.bgPanel.<init>]Loading label manager...
[guiMgr.panels.bgPanel.<init>]Loading infoBar...
[guiMgr.panels.bgPanel.<init>]Loading editing panel...
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test0
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test1
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test2
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test3
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test4
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test5
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[data.Config.set]Set mwd.isMax=false
[data.Config.set]Set mwd.width=1136
[data.Config.set]Set mwd.height=924
[data.Config.set]Set mwd.x=52
[data.Config.set]Set mwd.y=226
[data.Config.set]Set editingPnl.color=0.18
[data.Config.set]Set toolPnl.color=0.25
[data.Config.set]Set trackOper.color=0.25
[data.Config.set]Set labelCheck.color=0.25
[data.Config.set]Set trackOper.x=169
[data.Config.set]Set trackOper.y=148
[data.Config.set]Set toolPnl.x=387
[data.Config.set]Set toolPnl.y=55
[data.Config.set]Set labelCheck.x=692
[data.Config.set]Set labelCheck.y=103
[data.Config.set]Set infoBar.color=0.35
[data.Config.set]Set trackLocationAdd=-215
[data.Config.set]Set eleHeight=40
[guiMgr.MainWd.windowClosing]Closing...
