[boot.Main.main]Launch.ID:1584503996946
[data.Config.reload]Reload over.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[data.Config.set]Set mwd.isMax=false
[data.Config.set]Set mwd.width=1322
[data.Config.set]Set mwd.height=700
[data.Config.set]Set mwd.x=456
[data.Config.set]Set mwd.y=289
[data.Config.set]Set editingPnl.color=0.18
[data.Config.set]Set toolPnl.color=0.25
[data.Config.set]Set trackOper.color=0.25
[data.Config.set]Set trackOper.x=582
[data.Config.set]Set trackOper.y=95
[data.Config.set]Set toolPnl.x=813
[data.Config.set]Set toolPnl.y=17
[data.Config.set]Set infoBar.color=0.25
[data.Config.set]Set trackLocationAdd=-160
[data.Config.set]Set eleHeight=35
[guiMgr.MainWd.windowClosing]Closing...
