[boot.Main.main]Launch.ID:1584533347146
[data.Config.reload]Reload over.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[data.Config.set]Set mwd.isMax=false
[data.Config.set]Set mwd.width=1546
[data.Config.set]Set mwd.height=520
[data.Config.set]Set mwd.x=477
[data.Config.set]Set mwd.y=415
[data.Config.set]Set editingPnl.color=0.18
[data.Config.set]Set toolPnl.color=0.25
[data.Config.set]Set trackOper.color=0.25
[data.Config.set]Set trackOper.x=700
[data.Config.set]Set trackOper.y=139
[data.Config.set]Set toolPnl.x=-272
[data.Config.set]Set toolPnl.y=223
[data.Config.set]Set infoBar.color=0.25
[data.Config.set]Set trackLocationAdd=-65
[data.Config.set]Set eleHeight=35
[guiMgr.MainWd.windowClosing]Closing...
