[boot.Main.main]Launch.ID:1585009359031
[data.Config.reload]Reload over.
[guiMgr.MainWd.<init>]Loading window...
[guiMgr.panels.bgPanel.<init>]Loading panel...
[guiMgr.panels.bgPanel.<init>]Loading trackOperPanel...
[guiMgr.panels.bgPanel.<init>]Loading toolPanel...
[guiMgr.panels.bgPanel.<init>]Loading infoBar...
[guiMgr.panels.bgPanel.<init>]Loading editing panel...
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test0
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test1
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test2
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test3
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test4
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test5
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[data.Config.set]Set mwd.isMax=false
[data.Config.set]Set mwd.width=1228
[data.Config.set]Set mwd.height=646
[data.Config.set]Set mwd.x=588
[data.Config.set]Set mwd.y=187
[data.Config.set]Set editingPnl.color=0.18
[data.Config.set]Set toolPnl.color=0.25
[data.Config.set]Set trackOper.color=0.25
[data.Config.set]Set trackOper.x=61
[data.Config.set]Set trackOper.y=411
[data.Config.set]Set toolPnl.x=279
[data.Config.set]Set toolPnl.y=85
[data.Config.set]Set infoBar.color=0.25
[data.Config.set]Set trackLocationAdd=-215
[data.Config.set]Set eleHeight=40
[guiMgr.MainWd.windowClosing]Closing...
