[boot.Main.main]Launch.ID:1584677335919
[data.Config.reload]Reload over.
[guiMgr.MainWd.<init>]Loading window...
[guiMgr.panels.bgPanel.<init>]Loading panel...
[guiMgr.panels.bgPanel.<init>]Loading trackOperPanel...
[guiMgr.panels.bgPanel.<init>]Loading toolPanel...
[guiMgr.panels.bgPanel.<init>]Loading infoBar...
[guiMgr.panels.bgPanel.<init>]Loading editing panel...
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test0
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test1
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test2
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test3
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test4
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test5
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
