[boot.Main.main]Launch.ID:1584667457604
[data.Config.reload]Reload over.
[guiMgr.MainWd.<init>]Loading window...
[guiMgr.panels.bgPanel.<init>]Loading panel...
[guiMgr.panels.bgPanel.<init>]Loading trackOperPanel...
[guiMgr.panels.bgPanel.<init>]Loading toolPanel...
[guiMgr.panels.bgPanel.<init>]Loading infoBar...
[guiMgr.panels.bgPanel.<init>]Loading editing panel...
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.cutClipApart]Cut VideoClip at 49
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.cutClipApart]Cut VideoClip_ at 43
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateEleLayer]Update Elements Layer.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test0
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test1
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test2
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test3
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test4
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test5
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.cutClipApart]Cut VideoClip_ at 16
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.cutClipApart]Cut VideoClip__ at 21
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.addElement]Add elements.
[guiMgr.panels.EditingPnl.cutClipApart]Cut VideoClip___ at 45
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip_
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip__
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip__
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip___
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip____
[guiMgr.panels.EditingPnl.updateElement]Update Elements.
[guiMgr.panels.EditingPnl.updateEleLayer]Update Elements Layer.
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test0
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test1
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test2
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test3
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test4
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:test5
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
[guiMgr.panels.EditingPnl.solveAllConflict]solvingConflict obj:VideoClip
